时间(s)	加速度(m/s^2)
4.2000	1.52922442e-09
4.2100	3.16480668e-09
4.2200	3.23900077e-09
4.2300	2.53207198e-09
4.2400	4.27344382e-10
4.2500	-1.21345717e-09
4.2600	-2.33466156e-09
4.2700	-2.02714835e-09
4.2800	-7.05706540e-10
4.2900	6.75016995e-10
4.3000	2.08137587e-09
4.3100	1.77884957e-09
4.3200	1.07890811e-09
4.3300	-3.10034404e-10
4.3400	-1.69413969e-09
4.3500	-1.52064858e-09
4.3600	-1.18061005e-09
4.3700	9.62577709e-11
4.3800	1.07467332e-09
4.3900	1.22168610e-09
4.4000	9.09332296e-10
4.4100	-1.60976397e-10
4.4200	-8.39811132e-10
4.4300	-1.11211522e-09
4.4400	-5.92219416e-10
4.4500	4.47557563e-10
4.4600	1.07220394e-09
4.4700	1.53298297e-09
4.4800	6.41616302e-10
4.4900	-5.26325626e-10
4.5000	-1.69588128e-09
4.5100	-2.76890535e-09
4.5200	-2.23145612e-09
4.5300	-1.55558186e-09
4.5400	-2.02963048e-10
4.5500	8.24189240e-10
4.5600	1.02682634e-09
4.5700	7.85884996e-10
4.5800	-1.30985391e-10
4.5900	-7.24823106e-10
4.6000	-1.00759232e-09
4.6100	-5.27987600e-10
4.6200	4.13661934e-10
4.6300	1.24414920e-09
4.6400	2.03473206e-09
4.6500	1.77790791e-09
4.6600	1.33487807e-09
4.6700	4.24689968e-10
4.6800	-4.50493952e-10
4.6900	-6.72457508e-10
4.7000	-7.89254393e-10
4.7100	-4.53834591e-10
4.7200	-2.31675359e-10
4.7300	-2.71431196e-10
4.7400	-4.77219132e-10
4.7500	-9.16961387e-10
4.7600	-1.08806991e-09
4.7700	-1.01932688e-09
4.7800	-4.26490121e-10
4.7900	4.59222541e-10
4.8000	1.28840036e-09
4.8100	2.09920436e-09
4.8200	2.08727075e-09
4.8300	1.95013795e-09
4.8400	1.16778527e-09
4.8500	3.98689450e-10
4.8600	-1.24023035e-10
4.8700	-5.27504368e-10
4.8800	-4.75739485e-10
4.8900	-4.00580192e-10
4.9000	-2.75879796e-10
4.9100	-2.79952320e-10
4.9200	-4.51989525e-10
4.9300	-6.26837072e-10
4.9400	-8.04010420e-10
4.9500	-7.33062740e-10
4.9600	-5.34509959e-10
4.9700	-1.84544138e-10
4.9800	2.09737695e-10
4.9900	3.46522637e-10
5.0000	4.50435637e-10
5.0100	1.56273466e-10
5.0200	-1.44655786e-10
5.0300	-4.98593843e-10
5.0400	-8.03469022e-10
5.0500	-9.40712702e-10
5.0600	-1.01033245e-09
5.0700	-9.48461205e-10
5.0800	-8.18345024e-10
5.0900	-6.05766206e-10
5.1000	-2.87869326e-10
5.1100	1.10771404e-10
5.1200	5.44144634e-10
5.1300	9.93919324e-10
5.1400	1.20055365e-09
5.1500	1.34350836e-09
5.1600	1.06906807e-09
5.1700	7.48452425e-10
5.1800	2.87608269e-10
5.1900	-1.37146768e-10
5.2000	-3.24744742e-10
5.2100	-4.45595148e-10
5.2200	-3.61068419e-10
